transaction_id,amount,fee_rate
500001,5556.89,0.0034
500002,5193.11,0.0019
500003,2910.76,0.0198
500004,6246.69,0.0295
500005,3288.0,0.0248
500006,5956.13,0.0124
500007,4922.78,0.0079
500008,3787.41,0.0212
500009,4535.6,0.0433
500010,8542.39,0.017
500011,2882.55,0.0356
500012,5855.88,0.0144
500013,5603.45,0.0274
500014,8246.03,0.0121
500015,1797.8,0.0487
500016,6730.15,0.0108
500017,1936.31,0.0432
500018,8496.12,0.0209
500019,9848.92,0.0134
500020,5763.46,0.0446
500021,7671.22,0.0473
500022,3713.77,0.0153
500023,6139.14,0.048
500024,5488.51,0.0312
500025,2641.48,0.0338
500026,9304.12,0.0446
500027,1312.57,0.0228
500028,5373.72,0.0214
500029,364.57,0.0475
500030,969.7,0.0175
500031,863.88,0.0034
500032,6599.04,0.0278
500033,1388.59,0.0167
500034,1877.84,0.0268
500035,5696.54,0.0479
500036,8874.43,0.0239
500037,8952.36,0.0358
500038,3361.98,0.045
500039,7876.25,0.0102
500040,1433.8,0.0258
500041,9322.74,0.0453
500042,3170.41,0.0453
500043,663.88,0.0282
500044,3110.26,0.0195
500045,5633.89,0.0146
500046,1385.34,0.0469
500047,1870.75,0.0463
500048,8676.87,0.0245
500049,9536.53,0.028
500050,7744.72,0.0361
500051,8799.14,0.0022
500052,4313.15,0.0138
500053,7658.17,0.0471
500054,7906.66,0.0277
500055,4892.26,0.0241
500056,8887.45,0.0103
500057,7741.4,0.0299
500058,5880.01,0.0332
500059,4102.79,0.0317
500060,3407.43,0.0471
500061,4052.56,0.0443
500062,5604.51,0.0489
500063,4605.79,0.0177
500064,3714.38,0.0418
500065,1158.33,0.0372
500066,4659.09,0.0214
500067,9812.88,0.0252
500068,6494.48,0.0124
500069,4659.94,0.0147
500070,1824.49,0.0431
500071,6206.83,0.0356
500072,9474.21,0.0171
500073,126.53,0.0237
500074,9478.41,0.0163
500075,5828.66,0.0044
500076,4280.15,0.0438
500077,3407.76,0.0019
